Date,Open,High,Low,Close,Adj Close,Volume
2014-07-09,221.270004,224.220001,219.210007,223.059998,223.059998,4115400
2016-09-15,196.490005,202.520004,196.399994,200.419998,200.419998,3077200
2019-12-11,351.880005,357.190002,351.089996,352.700012,352.700012,6897800
2016-08-25,223.110001,223.800003,220.770004,220.960007,220.960007,1762500
2011-01-18,25.48,25.639999,24.75,25.639999,25.639999,1621700
2014-05-20,196.940002,199.330002,193.070007,195.300003,195.300003,5546100
2018-07-30,295.899994,296.100006,286.130005,290.170013,290.170013,6814100
2014-02-18,205.240005,206,201.360001,203.699997,203.699997,9332800
2017-08-23,338.98999,353.48999,338.299988,352.769989,352.769989,4954500
2013-11-26,119.379997,122.720001,116.099998,120.5,120.5,13885500
2017-09-20,373,378.25,371.070007,373.910004,373.910004,4919100
2011-08-01,28.67,28.98,28.209999,28.77,28.77,1164900
2015-06-02,248.919998,249.399994,246.300003,248.350006,248.350006,2134800
2011-01-24,23.530001,24.809999,23.23,24.49,24.49,1645100
2017-11-13,300.130005,316.799988,299.109985,315.399994,315.399994,7584900
2010-10-12,20.200001,20.280001,20.030001,20.24,20.24,244000
2017-12-11,314.630005,329.01001,313.75,328.910004,328.910004,7938000
2011-01-13,26.959999,26.969999,26.16,26.219999,26.219999,723600
2017-07-12,330.399994,333.100006,324.5,329.519989,329.519989,10346100
2017-01-10,232,232,226.889999,229.869995,229.869995,3660000
2019-03-06,276.480011,281.51001,274.390015,276.23999,276.23999,10335500
2014-10-01,242.199997,242.660004,235.649994,240.240005,240.240005,5941700
2018-04-18,291.079987,300.23999,288.160004,293.350006,293.350006,6557700
2011-12-16,28.790001,28.93,27.98,28,28,1029700
2019-09-19,246,247.940002,244.839996,246.600006,246.600006,4795800
2016-04-12,249.5,251.800003,243.630005,247.820007,247.820007,5763200
2017-12-27,316,317.679993,310.75,311.640015,311.640015,4712100
2014-05-06,216.600006,218.660004,206.850006,207.279999,207.279999,5636700
2011-07-13,28.43,29.030001,27.9,28.639999,28.639999,1066000
2018-12-07,369,379.48999,357.649994,357.970001,357.970001,11511200
2012-05-09,30.299999,30.77,29.76,30.059999,30.059999,1947900
2013-06-03,97.620003,97.620003,88.25,92.589996,92.589996,19139600
2018-10-18,269.290009,271,263,263.910004,263.910004,5421200
2011-04-25,26.700001,26.73,25.969999,26.389999,26.389999,800900
2014-11-13,250.619995,255.75,250.25,251.699997,251.699997,6236000
2011-11-28,32,33.279999,31.809999,32.560001,32.560001,681200
2013-12-17,147.580002,154.630005,146.320007,152.460007,152.460007,10495000
2014-09-08,277.619995,284.880005,277.519989,282.109985,282.109985,5501600
2010-08-27,19.75,19.870001,19.5,19.700001,19.700001,379600
2011-06-02,28.52,29.32,28.51,28.76,28.76,986300
2011-02-10,23.26,23.639999,22.809999,23.219999,23.219999,836100
2014-11-14,250,258.850006,248.5,258.679993,258.679993,6101100
2016-06-08,233.800003,240.850006,232.610001,235.520004,235.520004,5972000
2010-08-11,18.690001,18.879999,17.85,17.9,17.9,797600
2011-04-11,26.469999,26.530001,25.02,25.27,25.27,1369400
2012-04-20,33.139999,33.73,32.939999,33.16,33.16,821800
2019-03-27,268.75,275.369995,268.179993,274.829987,274.829987,8779200
2012-08-08,29.9,30,28.59,29.09,29.09,1308900
2010-11-19,30.16,31.370001,29.700001,30.99,30.99,1150500
